Fri. Sep. 18, 2020             LANDSAT 7                 Time: 13:49
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L2            Path/Row: 039 / 035

L0R Reference Image: L71EDC1899281180600_HDF.202022252
Acquisition Date: Oct 08, 1999

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
038   035   06-13-2000, 07-01-2015
038   036   06-13-2000, 09-19-2015
039   034   07-06-2000, 07-24-2015
039   035   05-03-2000, 07-24-2015
039   036   05-03-2000, 03-04-2016
040   034   06-11-2000, 05-09-2014
040   035   06-11-2000, 04-23-2014


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)
0390340609_01   36.727399 -113.862318  1663.955       3.623     1.386     3.358     1.923
0390340610_01   36.694722 -113.894523  1438.226      -1.395    -0.068    -1.366    -0.281
0390340620_01   36.622011 -114.328109   360.000       4.124    -0.134     4.094     0.502
0390340631_01   36.750083 -114.857880   649.000       1.303     0.970     1.138     1.157
0390340639_01   36.688112 -114.587671   454.000      -2.475     2.344    -2.804     1.935
0390340642_01   36.739853 -114.209468   409.000       6.301     3.714     5.653     4.637
0390340651_01   36.686293 -113.923739  1337.915      -0.724     4.811    -1.453     4.635
0390340663_01   36.726132 -114.718487   517.000       1.159     2.382     0.779     2.530
0390340667_01   36.654619 -113.632770  1522.647      -2.348     3.776    -2.896     3.364
0390340668_01   36.570887 -114.339919   350.000       6.697     3.982     6.002     4.963
0390340670_01   36.725938 -113.827466  1441.871       1.401     3.672     0.818     3.837
0390340675_01   36.689630 -113.845395  1492.719       0.970    -0.942     1.100    -0.779
0390340678_01   36.701568 -113.815389  1376.072      -0.598     0.711    -0.701     0.610
0390340695_01   36.628585 -113.806310  1336.326      -4.027    -0.983    -3.823    -1.588
0390340704_01   36.675813 -114.515192   546.000      -3.847    -0.719    -3.688    -1.301
0390340709_01   36.743375 -114.186845   421.000       2.119     3.683     1.527     3.963
0390340733_01   36.705930 -113.678891  1499.555      -2.971     4.403    -3.606     3.887
0390340740_01   36.560119 -113.906296  1016.686      -0.134    -1.697     0.127    -1.695
0390340742_01   36.640591 -114.685790   498.000      -3.155     0.739    -3.229     0.245
0390340754_01   36.579820 -114.153582  1318.913      -4.086     1.701    -4.291     1.050
0390340756_01   36.667677 -113.977831  1583.352      -3.877     3.423    -4.349     2.780
0390340761_01   36.863701 -115.391118  1258.750       1.051    -5.750     1.919    -5.509
0390340772_01   36.558926 -113.739797  1536.077       6.258     0.304     6.123     1.263
0390340775_01   36.772841 -114.831031   640.000       0.021    -1.048     0.182    -1.032
0390340782_01   36.960076 -115.399187  1365.001       1.637     6.126     0.677     6.289
0390340784_01   36.665391 -114.654510   461.000      -0.841     1.815    -1.110     1.663
0390340793_01   36.563423 -113.639415  1666.461      -5.104     1.447    -5.256     0.642
0390340821_01   36.492288 -113.917701   935.272       1.294    -6.287     2.242    -6.006
0390340860_01   36.839203 -115.339830  1787.633       3.163     6.229     2.163     6.620
0390350004_01   35.361903 -115.492793  1434.525      -0.826     3.559    -1.365     3.379
0390350006_01   36.774454 -114.185341   450.248      -0.946     2.845    -1.372     2.665
0390350015_01   35.225002 -114.575382   172.706      -2.980    -2.445    -2.564    -2.879
0390350025_01   36.835251 -114.655954   521.532      -0.622    -4.161     0.025    -4.204
0390350026_01   36.124172 -113.965339   353.973      -4.430    -2.724    -3.957    -3.376
0390350035_01   36.130798 -115.093539   532.251       1.961     1.695     1.675     1.975
0390350036_01   35.393255 -114.298569   994.439      -2.474    -0.136    -2.421    -0.518
0390350038_01   35.794595 -114.140056   847.845       2.378     0.329     2.295     0.693
0390350040_01   36.261534 -115.297419   752.623       0.089     2.192    -0.249     2.176
0390350047_01   35.933062 -114.925824   523.605       1.347     6.391     0.342     6.516
0390350054_01   35.496221 -114.521978   907.804       0.941     2.870     0.483     2.977
0390350055_01   36.102245 -113.919632   355.447      -0.366    -2.735     0.059    -2.758
0390350058_01   35.206255 -114.570351   172.556       0.711     0.399     0.639     0.505
0390350063_01   36.112284 -115.118949   566.784       0.678     0.589     0.579     0.686
0390350064_01   36.183023 -113.906196   623.742      -1.372     3.187    -1.847     2.935
0390350068_01   36.121863 -114.914416   399.397      -0.123    -2.197     0.218    -2.188
0390350070_01   35.261361 -115.097611  1241.250       2.402    -2.961     2.827    -2.546
0390350073_01   36.058995 -115.067275   549.992       0.900     3.358     0.370     3.453
0390350074_01   36.231105 -113.968726   532.449      -2.041     2.705    -2.433     2.356
0390350075_01   36.438938 -114.374223   415.081       0.535    -2.665     0.938    -2.549
0390350079_01   35.285574 -114.601606   173.949      -2.836     1.423    -3.023     0.964
0390350084_01   36.063301 -115.000228   478.040       0.993    -0.671     1.084    -0.509
0390350086_01   36.138443 -113.898608  1088.452       4.765     6.381     3.717     7.033
0390350090_01   35.733684 -114.700028   175.871      -2.716     0.204    -2.714    -0.219
0390350091_01   36.641562 -114.545185   429.000       0.965     0.289     0.909     0.433
0390350095_01   36.525118 -114.137149   926.612      -6.509    -2.884    -5.982    -3.848
0390350096_01   36.035246 -114.971288   557.170      -1.556     0.931    -1.679     0.678
0390350097_01   35.483668 -114.691629   224.042       1.504     1.499     1.253     1.714
0390350098_01   35.760976 -114.698916   180.659       0.888     1.332     0.670     1.453
0390350100_01   35.432495 -114.500783   904.804       2.739     2.521     2.311     2.912
0390350101_01   35.362675 -114.191974  1064.219      -1.258     0.801    -1.366     0.596
0390350104_01   36.707186 -113.887279  1514.370       4.617     2.558     4.160     3.233
0390350106_01   35.873372 -114.664831   182.367      -6.142     3.821    -6.657     2.823
0390350107_01   36.027644 -115.084390   614.474      -1.250     5.378    -2.064     5.114
0390350108_01   36.187948 -114.616130   623.572       0.988     0.045     0.968     0.197
0390350109_01   35.603830 -113.990888   840.682       6.752    -0.563     6.749     0.492
0390350110_01   36.238418 -115.514990  1662.422       1.973     4.286     1.285     4.525
0390350113_01   35.467608 -114.536716   677.129      -2.539    -1.008    -2.350    -1.388
0390350115_01   36.169668 -115.138980   584.754      -0.443     0.858    -0.569     0.779
0390350118_01   35.598760 -114.658277   174.063      -2.904     4.627    -3.586     4.119
0390350120_01   35.974908 -114.890048   755.096      -1.981     0.463    -2.026     0.151
0390350121_01   36.008063 -114.980352   657.763       2.031     1.966     1.701     2.254
0390350122_01   35.931853 -113.971522  1665.666       2.119    -0.240     2.124     0.091
0390350123_01   36.136337 -115.135754   581.898       2.071     4.849     1.297     5.105
0390350124_01   35.683918 -115.137411  1240.671       0.061     0.450    -0.010     0.452
0390350125_01   36.110018 -115.495936  1777.664      -2.301     4.265    -2.923     3.846
0390350128_01   36.359416 -115.315651   800.499      -1.099    -1.049    -0.922    -1.204
0390350129_01   36.099654 -115.072627   508.328      -0.878     1.694    -1.128     1.537
0390350131_01   36.304350 -114.064408   719.518      -3.837    -2.237    -3.445    -2.800
0390350132_01   35.627834 -114.665359   173.363      -1.732     1.926    -2.009     1.634
0390350134_01   36.293978 -114.229810  1004.369      -5.590    -2.993    -5.056    -3.815
0390350135_01   35.948994 -114.848474   640.357       2.019     2.885     1.547     3.159
0390350137_01   35.673464 -114.689537   179.525      -3.874     3.313    -4.339     2.672
0390350138_01   35.970687 -114.402424   588.175      -1.219     0.090    -1.218    -0.100
0390350141_01   35.815118 -115.087134   903.724      -1.506    -0.254    -1.446    -0.483
0390350143_01   36.583568 -114.563768   708.117      -4.170    -5.192    -3.318    -5.765
0390350144_01   36.440121 -114.532129   795.761       2.492    -3.763     3.037    -3.330
0390350147_01   35.474323 -114.379783   889.780      -6.184    -1.929    -5.804    -2.863
0390350148_01   36.171635 -115.107914   527.000      -3.314     2.280    -3.622     1.739
0390350149_01   36.255310 -114.729913   857.324       0.570    -1.135     0.738    -1.032
0390350152_01   35.218593 -114.276329   815.277       0.861    -2.163     1.184    -2.000
0390350153_01   36.393843 -113.802883  1125.788       2.973     1.459     2.708     1.898
